城市,特征,重要性,更新时间
包头,AQI_roll_mean_3,0.4179,2026-04-15 13:41:29
包头,AQI_lag_1,0.3865,2026-04-15 13:41:29
包头,降水量,0.3496,2026-04-15 13:41:29
包头,AQI_lag_2,0.3096,2026-04-15 13:41:29
北京,湿度,0.6301,2026-04-15 13:41:29
北京,温度,0.6137,2026-04-15 13:41:29
北京,风速,0.5166,2026-04-15 13:41:29
北京,AQI_roll_mean_3,0.3957,2026-04-15 13:41:29
北京,小时,0.3755,2026-04-15 13:41:29
北京,AQI_lag_1,0.2964,2026-04-15 13:41:29
北京,AQI_lag_2,0.2525,2026-04-15 13:41:29
北京,降水量,0.2432,2026-04-15 13:41:29
北海,湿度,0.6386,2026-04-15 13:41:29
北海,温度,0.5923,2026-04-15 13:41:29
北海,风速,0.543,2026-04-15 13:41:29
北海,AQI_roll_mean_3,0.4098,2026-04-15 13:41:29
北海,AQI_lag_1,0.4069,2026-04-15 13:41:29
北海,小时,0.3448,2026-04-15 13:41:29
北海,AQI_lag_2,0.3053,2026-04-15 13:41:29
北海,工作日,0.0978,2026-04-15 13:41:29
十堰,温度,0.6707,2026-04-15 13:41:29
十堰,湿度,0.6594,2026-04-15 13:41:29
十堰,风速,0.5669,2026-04-15 13:41:29
十堰,AQI_roll_mean_3,0.4701,2026-04-15 13:41:29
十堰,AQI_lag_1,0.4055,2026-04-15 13:41:29
十堰,AQI_lag_2,0.3936,2026-04-15 13:41:29
十堰,小时,0.3704,2026-04-15 13:41:29
十堰,降水量,0.0726,2026-04-15 13:41:29
南京,湿度,0.7292,2026-04-15 13:41:29
南京,温度,0.704,2026-04-15 13:41:29
南京,风速,0.534,2026-04-15 13:41:29
南京,AQI_roll_mean_3,0.4898,2026-04-15 13:41:29
南京,小时,0.4756,2026-04-15 13:41:29
南京,AQI_lag_1,0.4416,2026-04-15 13:41:29
南京,AQI_lag_2,0.398,2026-04-15 13:41:29
南京,降水量,0.0755,2026-04-15 13:41:29
南充,湿度,0.6496,2026-04-15 13:41:29
南充,温度,0.6383,2026-04-15 13:41:29
南充,风速,0.524,2026-04-15 13:41:29
南充,AQI_roll_mean_3,0.4239,2026-04-15 13:41:29
南充,小时,0.3974,2026-04-15 13:41:29
南充,AQI_lag_2,0.3663,2026-04-15 13:41:29
南充,AQI_lag_1,0.3198,2026-04-15 13:41:29
南充,降水量,0.0738,2026-04-15 13:41:29
