城市,日期,平均AQI,峰值AQI,污染等级,预警颜色,预警提示
南昌,2026-03-30,62.5,62.5,良,黄色,无预警
南昌,2026-03-31,62.5,62.5,良,黄色,无预警
南通,2026-03-25,59.1,59.2,良,黄色,无预警
南通,2026-03-26,59.1,59.2,良,黄色,无预警
南通,2026-03-27,59.1,59.2,良,黄色,无预警
南通,2026-03-28,59.1,59.2,良,黄色,无预警
南通,2026-03-29,59.1,59.2,良,黄色,无预警
南通,2026-03-30,59.1,59.2,良,黄色,无预警
南通,2026-03-31,59.1,59.2,良,黄色,无预警
南阳,2026-03-25,58.8,58.9,良,黄色,无预警
南阳,2026-03-26,58.8,58.9,良,黄色,无预警
南阳,2026-03-27,58.8,58.9,良,黄色,无预警
南阳,2026-03-28,58.8,58.9,良,黄色,无预警
南阳,2026-03-29,58.8,58.9,良,黄色,无预警
南阳,2026-03-30,58.8,58.9,良,黄色,无预警
南阳,2026-03-31,58.8,58.9,良,黄色,无预警
博尔塔拉蒙古自治州,2026-03-25,47.6,47.7,优,绿色,无预警
博尔塔拉蒙古自治州,2026-03-26,47.6,47.7,优,绿色,无预警
博尔塔拉蒙古自治州,2026-03-27,47.6,47.7,优,绿色,无预警
博尔塔拉蒙古自治州,2026-03-28,47.6,47.7,优,绿色,无预警
博尔塔拉蒙古自治州,2026-03-29,47.6,47.7,优,绿色,无预警
博尔塔拉蒙古自治州,2026-03-30,47.6,47.7,优,绿色,无预警
博尔塔拉蒙古自治州,2026-03-31,47.6,47.7,优,绿色,无预警
厦门,2026-03-25,65.9,65.9,良,黄色,无预警
厦门,2026-03-26,65.9,65.9,良,黄色,无预警
厦门,2026-03-27,65.9,65.9,良,黄色,无预警
厦门,2026-03-28,65.9,65.9,良,黄色,无预警
厦门,2026-03-29,65.9,65.9,良,黄色,无预警
厦门,2026-03-30,65.9,65.9,良,黄色,无预警
厦门,2026-03-31,65.9,65.9,良,黄色,无预警
双鸭山,2026-03-25,47.7,47.8,优,绿色,无预警
双鸭山,2026-03-26,47.7,47.8,优,绿色,无预警
双鸭山,2026-03-27,47.7,47.8,优,绿色,无预警
双鸭山,2026-03-28,47.7,47.8,优,绿色,无预警
双鸭山,2026-03-29,47.7,47.8,优,绿色,无预警
双鸭山,2026-03-30,47.7,47.8,优,绿色,无预警
双鸭山,2026-03-31,47.7,47.8,优,绿色,无预警
台州,2026-03-25,62.3,62.4,良,黄色,无预警
台州,2026-03-26,62.3,62.4,良,黄色,无预警
台州,2026-03-27,62.3,62.4,良,黄色,无预警
台州,2026-03-28,62.3,62.4,良,黄色,无预警
台州,2026-03-29,62.3,62.4,良,黄色,无预警
台州,2026-03-30,62.3,62.4,良,黄色,无预警
台州,2026-03-31,62.3,62.4,良,黄色,无预警
合肥,2026-03-25,59.1,59.2,良,黄色,无预警
合肥,2026-03-26,59.1,59.2,良,黄色,无预警
合肥,2026-03-27,59.1,59.2,良,黄色,无预警
合肥,2026-03-28,59.1,59.2,良,黄色,无预警
合肥,2026-03-29,59.1,59.2,良,黄色,无预警
合肥,2026-03-30,59.1,59.2,良,黄色,无预警
合肥,2026-03-31,59.1,59.2,良,黄色,无预警
吉安,2026-03-25,62.4,62.5,良,黄色,无预警
吉安,2026-03-26,62.4,62.5,良,黄色,无预警
吉安,2026-03-27,62.4,62.5,良,黄色,无预警
吉安,2026-03-28,62.4,62.5,良,黄色,无预警
吉安,2026-03-29,62.4,62.5,良,黄色,无预警
吉安,2026-03-30,62.4,62.5,良,黄色,无预警
吉安,2026-03-31,62.4,62.5,良,黄色,无预警
吉林,2026-03-25,49.1,49.3,优,绿色,无预警
吉林,2026-03-26,49.1,49.3,优,绿色,无预警
吉林,2026-03-27,49.1,49.3,优,绿色,无预警
吉林,2026-03-28,49.1,49.3,优,绿色,无预警
吉林,2026-03-29,49.1,49.3,优,绿色,无预警
吉林,2026-03-30,49.1,49.3,优,绿色,无预警
吉林,2026-03-31,49.1,49.3,优,绿色,无预警
吐鲁番,2026-03-25,50.2,50.2,良,黄色,无预警
吐鲁番,2026-03-26,50.2,50.2,良,黄色,无预警
吐鲁番,2026-03-27,50.2,50.2,良,黄色,无预警
吐鲁番,2026-03-28,50.2,50.2,良,黄色,无预警
吐鲁番,2026-03-29,50.2,50.2,良,黄色,无预警
吐鲁番,2026-03-30,50.2,50.2,良,黄色,无预警
吐鲁番,2026-03-31,50.2,50.2,良,黄色,无预警
吕梁,2026-03-25,54.9,55.0,良,黄色,无预警
吕梁,2026-03-26,54.9,55.0,良,黄色,无预警
吕梁,2026-03-27,54.9,55.0,良,黄色,无预警
吕梁,2026-03-28,54.9,55.0,良,黄色,无预警
吕梁,2026-03-29,54.9,55.0,良,黄色,无预警
吕梁,2026-03-30,54.9,55.0,良,黄色,无预警
吕梁,2026-03-31,54.9,55.0,良,黄色,无预警
吴忠,2026-03-25,54.8,54.9,良,黄色,无预警
吴忠,2026-03-26,54.8,54.9,良,黄色,无预警
吴忠,2026-03-27,54.8,54.9,良,黄色,无预警
吴忠,2026-03-28,54.8,54.9,良,黄色,无预警
吴忠,2026-03-29,54.8,54.9,良,黄色,无预警
吴忠,2026-03-30,54.8,54.9,良,黄色,无预警
吴忠,2026-03-31,54.8,54.9,良,黄色,无预警
周口,2026-03-25,57.1,57.2,良,黄色,无预警
周口,2026-03-26,57.1,57.2,良,黄色,无预警
周口,2026-03-27,57.1,57.2,良,黄色,无预警
周口,2026-03-28,57.1,57.2,良,黄色,无预警
周口,2026-03-29,57.1,57.2,良,黄色,无预警
周口,2026-03-30,57.1,57.2,良,黄色,无预警
周口,2026-03-31,57.1,57.2,良,黄色,无预警
呼伦贝尔,2026-03-25,43.5,43.6,优,绿色,无预警
呼伦贝尔,2026-03-26,43.5,43.6,优,绿色,无预警
呼伦贝尔,2026-03-27,43.5,43.6,优,绿色,无预警
呼伦贝尔,2026-03-28,43.5,43.6,优,绿色,无预警
呼伦贝尔,2026-03-29,43.5,43.6,优,绿色,无预警
呼伦贝尔,2026-03-30,43.5,43.6,优,绿色,无预警
